x-axis, y-axis
5.145145145145145449e+01,1.996954726919623613e-01
5.165165165165165462e+01,2.900492012588276047e-01
5.185185185185185475e+01,3.804029298256929037e-01
5.205205205205205488e+01,4.707566583925582027e-01
5.225225225225225500e+01,5.611103869594235016e-01
5.245245245245245513e+01,5.991816811088178651e-01
5.265265265265265526e+01,6.366081350453403065e-01
5.285285285285285539e+01,6.740345889818626368e-01
5.305305305305305552e+01,7.114610429183850782e-01
5.325325325325325565e+01,7.352795451701100715e-01
5.345345345345345578e+01,7.249410786076049273e-01
5.365365365365365591e+01,7.146026120450997832e-01
5.385385385385385604e+01,7.042641454825946390e-01
5.405405405405405617e+01,6.939256789200894948e-01
5.425425425425425630e+01,6.622422911478417218e-01
5.445445445445445642e+01,6.152269398902192599e-01
5.465465465465465655e+01,5.682115886325967979e-01
5.485485485485485668e+01,5.211962373749743360e-01
5.505505505505505681e+01,4.741808861173517631e-01
5.525525525525525694e+01,4.391407610744041401e-01
5.545545545545545707e+01,4.057483309415592654e-01
5.565565565565565720e+01,3.723559008087143352e-01
5.585585585585585733e+01,3.389634706758694049e-01
5.605605605605605746e+01,3.058683853478577075e-01
5.625625625625625759e+01,2.741641905195634221e-01
5.645645645645645772e+01,2.424599956912691090e-01
5.665665665665665784e+01,2.107558008629747959e-01
5.685685685685685797e+01,1.790516060346804827e-01
5.705705705705705810e+01,1.625786278838126098e-01
5.725725725725725823e+01,1.630617623289882800e-01
5.745745745745745836e+01,1.635448967741639781e-01
5.765765765765765849e+01,1.640280312193396761e-01
5.785785785785785862e+01,1.645111656645153464e-01
5.805805805805805875e+01,1.595391596434084236e-01
5.825825825825825888e+01,1.529403001634964676e-01
5.845845845845845901e+01,1.463414406835845116e-01
5.865865865865865914e+01,1.397425812036725279e-01
5.885885885885885926e+01,1.329116104069158755e-01
5.905905905905905939e+01,1.228669642461648753e-01
5.925925925925925952e+01,1.128223180854138891e-01
5.945945945945945965e+01,1.027776719246629028e-01
5.965965965965965978e+01,9.273302576391190266e-02
5.985985985985986702e+01,8.789632470315072998e-02
6.006006006006006714e+01,9.214199776827060318e-02
6.026026026026026727e+01,9.638767083339049024e-02
6.046046046046046740e+01,1.006333438985103773e-01
6.066066066066066753e+01,1.048790169636302505e-01
6.086086086086086766e+01,1.332439266184357596e-01
6.106106106106106779e+01,1.739501236243573001e-01
6.126126126126126792e+01,2.146563206302788407e-01
6.146146146146146805e+01,2.553625176362003812e-01
6.166166166166166818e+01,2.960687146421219773e-01
6.186186186186186831e+01,3.498778079166284805e-01
6.206206206206206843e+01,4.042528711104569350e-01
6.226226226226226856e+01,4.586279343042853895e-01
6.246246246246246869e+01,5.130029974981138441e-01
6.266266266266266882e+01,5.626377073297172959e-01
6.286286286286286895e+01,5.984720102343734638e-01
6.306306306306306908e+01,6.343063131390296316e-01
6.326326326326326921e+01,6.701406160436857995e-01
6.346346346346346934e+01,7.059749189483418563e-01
